pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"Kepler-1676 b","Kepler-1676","Transit",2020,29.92210000000,3.37695960,11.30000000,0.1954000000,782.00,5878.30,1.060660,1.070000,
"Kepler-84 c","Kepler-84","Transit",2012,12.88300000000,2.36000000,20.20000000,0.1072000000,865.00,6039.00,1.430000,1.000000,1023.90000000
"NGTS-30 b","NGTS-30","Transit",2024,98.29838000000,10.40193409,305.11527072,0.4080000000,500.00,5455.00,0.913000,0.940000,238.37700000
"OGLE-2019-BLG-0304L b","OGLE-2019-BLG-0304L","Microlensing",2021,,14.20000000,162.09248757,1.2300000000,,,,0.270000,6980.00000000
"OGLE-2005-BLG-169L b","OGLE-2005-BLG-169L","Microlensing",2006,,3.84000000,14.10000000,3.5000000000,,,,0.690000,4100.00000000
"OGLE-2017-BLG-0604L b","OGLE-2017-BLG-0604L","Microlensing",2020,,14.20000000,160.00000000,4.0600000000,,,,0.700000,3950.00000000
"Kepler-1653 b","Kepler-1653","Transit",2017,140.25240000000,2.17000000,5.35000000,0.4706000000,284.00,4807.00,0.693000,0.719000,755.00000000
"MOA-2022-BLG-249L b","MOA-2022-BLG-249L","Microlensing",2023,,2.04000000,4.83000000,1.6300000000,,,,0.180000,2000.00000000
"OGLE-2019-BLG-0960L b","OGLE-2019-BLG-0960L","Microlensing",2021,,1.39000000,2.50000000,1.9000000000,,,,0.500000,980.00000000
"Kepler-1079 b","Kepler-1079","Transit",2016,13.24503188000,1.63000000,3.29000000,0.1092000000,887.00,5758.00,1.360000,1.080000,591.09800000
"SWEEPS-11 b","SWEEPS-11","Transit",2006,1.79600000000,12.66600000,3082.82000000,0.0300000000,,,1.450000,1.100000,8500.00000000
"KMT-2023-BLG-0466L b","KMT-2023-BLG-0466L","Microlensing",2026,,13.10000000,1032.94232275,2.6800000000,,,,0.440000,6800.00000000
"OGLE-2017-BLG-1375L b","OGLE-2017-BLG-1375L","Microlensing",2020,,12.40000000,3585.00000000,3.0400000000,,,,0.810000,3930.00000000
"Kepler-1248 b","Kepler-1248","Transit",2016,7.46725407000,1.18000000,1.76000000,0.0806000000,1035.00,6149.00,1.210000,1.210000,593.02600000
"KMT-2019-BLG-1216L b","KMT-2019-BLG-1216L","Microlensing",2023,,5.98000000,29.87587026,2.4400000000,,,,0.390000,2740.00000000
"OGLE-2015-BLG-0954L b","OGLE-2015-BLG-0954L","Microlensing",2016,,13.10000000,1100.00000000,1.6000000000,,,,0.300000,1200.00000000
"KMT-2024-BLG-0404L c","KMT-2024-BLG-0404L","Microlensing",2025,,4.33000000,17.30000000,,,,,0.090000,7210.00000000
"KMT-2022-BLG-2286L b","KMT-2022-BLG-2286L","Microlensing",2024,,12.10000000,6038.73973300,2.0200000000,,,,0.200000,7320.00000000
"KMT-2020-BLG-0414L c","KMT-2020-BLG-0414L","Microlensing",2021,,11.90000000,8581.36698900,22.3000000000,,,,0.490000,1220.00000000
"KMT-2019-BLG-0578L b","KMT-2019-BLG-0578L","Microlensing",2025,,13.70000000,381.39408840,2.0000000000,,,,0.280000,7300.00000000
"K2-65 b","K2-65","Transit",2016,12.64750000000,1.58000000,3.12000000,0.1014000000,723.51,5213.00,0.840000,0.870000,72.20000000
"OGLE-2018-BLG-1367L b","OGLE-2018-BLG-1367L","Microlensing",2022,,13.80000000,301.93698665,1.2100000000,,,,0.280000,5370.00000000
"M62H b","M62H","Pulsar Timing",2024,0.13293502800,,785.03616529,,,,,1.400000,
"CWISEP J193518.59-154620.3 b","CWISEP J193518.59-154620.3","Imaging",2025,,12.20000000,4926.34030850,2.4800000000,390.00,,,0.024000,14.43000000
"KMT-2023-BLG-1896L b","KMT-2023-BLG-1896L","Microlensing",2025,,4.19000000,16.35000000,2.8600000000,,,,0.720000,5490.00000000
"TOI-2267 d","TOI-2267 B","Transit",2025,2.03446710000,1.77000000,3.78000000,0.0145000000,422.00,3022.00,0.130000,0.098900,22.55000000
"KMT-2016-BLG-2142L b","KMT-2016-BLG-2142L","Microlensing",2018,,12.20000000,4923.00000000,0.8300000000,,,,0.073000,7010.00000000
"KMT-2021-BLG-0119L b","KMT-2021-BLG-0119L","Microlensing",2022,,12.80000000,1754.41280664,2.9200000000,,,,0.560000,3130.00000000
"KMT-2022-BLG-1790L b","KMT-2022-BLG-1790L","Microlensing",2025,,13.50000000,549.84314411,5.2500000000,,,,0.580000,6480.00000000
"OGLE-2019-BLG-0299L b","OGLE-2019-BLG-0299L","Microlensing",2021,,12.70000000,1976.89269154,2.8000000000,,,,0.590000,5830.00000000
"TOI-2416 b","TOI-2416","Transit",2023,8.27547900000,9.86390302,953.48522100,0.0831000000,1080.00,5808.00,1.236000,1.118000,557.73300000
"OGLE-2013-BLG-1721L b","OGLE-2013-BLG-1721L","Microlensing",2017,,14.10000000,200.00000000,2.6000000000,,,,0.460000,6300.00000000
"CFBDSIR J145829+101343 b","CFBDSIR J145829+101343","Imaging",2011,10037.50000000000,12.40000000,3337.10000000,2.6000000000,370.00,580.50,,0.021000,23.10000000
"OGLE-2018-BLG-0932L b","OGLE-2018-BLG-0932L","Microlensing",2022,,13.90000000,282.86728223,1.7500000000,,,,0.720000,6620.00000000
"Kepler-405 b","Kepler-405","Transit",2014,10.61383900000,2.08000000,4.98000000,0.0950000000,785.00,5818.00,0.893000,0.873000,1065.08000000
"Kepler-636 b","Kepler-636","Transit",2016,16.08066114700,4.45000000,18.10000000,0.1185000000,614.00,5203.00,0.800000,0.850000,310.30100000
"OGLE-2003-BLG-235L b","OGLE-2003-BLG-235L","Microlensing",2004,,13.20000000,830.00000000,4.3000000000,,,,0.630000,5800.00000000
"Kepler-565 b","Kepler-565","Transit",2016,4.24374722600,3.64000000,12.90000000,0.0501000000,1063.00,5735.00,0.950000,0.980000,1041.00000000
"Kepler-132 e","Kepler-132","Transit",2016,110.28693740000,1.18000000,1.76000000,0.4392700000,414.00,6023.00,1.100000,1.030000,349.54900000
"HD 95735 c","GJ 411","Radial Velocity",2021,2946.00000000000,3.76000000,13.60000000,2.9400000000,63.49,3719.00,0.368500,0.389900,5.67577300
"WISEP J121756.91+162640.2 A b","WISEP J121756.91+162640.2 A","Imaging",2012,,10.46800000,6992.00000000,8.0000000000,450.00,575.00,0.091000,0.029000,10.10000000
"KMT-2017-BLG-1057L b","KMT-2017-BLG-1057L","Microlensing",2024,,5.19000000,23.50000000,2.3600000000,,,,0.570000,6500.00000000
"MOA-2008-BLG-379L b","MOA-2008-BLG-379L","Microlensing",2013,,13.00000000,1300.00000000,2.7000000000,,,,0.560000,3300.00000000
"KOI-984 c","KOI-984","Transit Timing Variations",2022,21.51200000000,14.10000000,209.80000000,0.1467000000,597.00,5295.00,0.818000,0.928000,252.66700000
"alf Tau b","alf Tau","Radial Velocity",2015,628.96000000000,12.70000000,2056.36010000,1.4600000000,1086.77,4055.00,45.100000,1.130000,20.43320000
"OGLE-2018-BLG-0506L b","OGLE-2018-BLG-0506L","Microlensing",2022,,4.18000000,16.30000000,3.0000000000,,,,0.630000,5600.00000000
"Kepler-138 e","Kepler-138","Transit Timing Variations",2022,38.23000000000,0.79700000,0.43000000,0.1803000000,292.00,3841.00,0.535000,0.535000,66.86240000
"OGLE-2018-BLG-0383L b","OGLE-2018-BLG-0383L","Microlensing",2022,,2.41000000,6.40000000,1.8000000000,,,,0.100000,7700.00000000
"KMT-2021-BLG-0171L b","KMT-2021-BLG-0171L","Microlensing",2022,,3.35000000,11.20000000,3.5000000000,,5200.00,,0.780000,4600.00000000
"KMT-2017-BLG-0165L b","KMT-2017-BLG-0165L","Microlensing",2018,,6.45000000,34.00000000,3.4500000000,,,,0.760000,4530.00000000
"OGLE-2019-BLG-1053L b","OGLE-2019-BLG-1053L","Microlensing",2021,,1.38000000,2.48000000,3.4000000000,,,,0.610000,6800.00000000
"Kepler-1639 b","Kepler-1639","Transit",2016,9.87848200000,2.58000000,7.18000000,0.0932000000,1003.00,6150.00,1.180000,1.120000,1031.31000000
"Kepler-1493 b","Kepler-1493","Transit",2016,15.02179830000,1.41000000,2.57000000,0.1197000000,874.00,5863.00,1.290000,1.060000,555.05100000
"OGLE-2018-BLG-0677L b","OGLE-2018-BLG-0677L","Microlensing",2020,,1.82000000,3.96000000,0.6300000000,,,,0.120000,7580.00000000
"KMT-2016-BLG-2397L b","KMT-2016-BLG-2397L","Microlensing",2020,,13.20000000,836.00000000,3.6400000000,,,,0.640000,4880.00000000
"HIP 86221 b","HIP 86221","Radial Velocity",2021,2.22400000000,14.00000000,225.65816897,0.0310000000,,,,0.790000,29.48980000
"KMT-2019-BLG-1806L b","KMT-2019-BLG-1806L","Microlensing",2023,,2.00000000,4.67000000,3.0200000000,,,,0.740000,6640.00000000
"OGLE-2017-BLG-1140L b","OGLE-2017-BLG-1140L","Microlensing",2018,,13.50000000,505.00000000,1.0200000000,,,,0.211000,
"OGLE-2019-BLG-0362L b","OGLE-2019-BLG-0362L","Microlensing",2022,,13.10000000,1036.12060682,2.1800000000,,,,0.420000,5830.00000000
"Kepler-799 c","Kepler-799","Transit",2021,15.19419956000,2.78068551,8.15000000,0.1214000000,893.00,5588.00,1.593000,1.031000,1509.08400000
"KMT-2023-BLG-1431L b","KMT-2023-BLG-1431L","Microlensing",2024,,3.76000000,13.60000000,3.2000000000,,,,0.570000,6800.00000000
"OGLE-2016-BLG-1266L b","OGLE-2016-BLG-1266L","Microlensing",2018,,12.40000000,3813.94088400,0.4300000000,,,,0.015000,3080.00000000
"nu Oct A b","nu Oct A","Radial Velocity",2016,402.40000000000,13.30000000,696.04421133,1.2400000000,477.33,4910.00,5.040000,1.570000,21.19990000
"KMT-2016-BLG-2321L b","KMT-2016-BLG-2321L","Microlensing",2024,,13.80000000,301.93698665,3.5800000000,,,,0.730000,3580.00000000
"KMT-2021-BLG-2478L b","KMT-2021-BLG-2478L","Microlensing",2023,,13.90000000,286.04556630,1.8500000000,,,,0.200000,2970.00000000
"MOA-2011-BLG-262L b","MOA-2011-BLG-262L","Microlensing",2014,,4.29000000,17.00000000,0.9500000000,,,,0.110000,7200.00000000
"Kepler-588 b","Kepler-588","Transit",2016,4.22162535700,2.63000000,7.41000000,0.0520000000,1176.00,5835.00,1.000000,1.010000,1209.40000000
"TOI-6954 b","TOI-6954","Transit",2026,4.02074127419,3.63524486,12.80000000,,930.00,5170.87,0.947112,0.834000,190.04200000
"TIC 260969020 b","TIC 260969020","Transit",2026,8.48584501953,2.22686612,5.59000000,,,4572.94,0.689880,0.750000,121.22200000
"TOI-5218 b","TOI-5218","Transit",2024,4.29145200000,9.86000000,657.00000000,0.0469000000,783.00,4230.00,0.708000,0.739000,377.48300000
"HD 9174 b","HD 9174","Radial Velocity",2016,1179.00000000000,13.70000000,352.79130000,2.2000000000,234.30,5577.00,1.670000,1.030000,81.48930000
"Kepler-1541 b","Kepler-1541","Transit",2016,8.40691199000,1.16000000,1.65000000,0.0755500000,1048.00,5282.00,0.810000,0.860000,416.69200000
"Kepler-169 e","Kepler-169","Transit",2014,13.76710200000,2.20000000,5.48000000,0.1050000000,595.00,4997.00,0.763000,0.825000,406.52900000
"Kepler-1844 b","Kepler-1844","Transit",2021,3.92451000200,3.03648191,9.46000000,0.0478000000,1074.00,5776.00,0.849000,0.939000,1804.36000000
"TOI-481 b","TOI-481","Transit",2020,10.33111000000,11.09691000,486.27990000,0.0970000000,1370.00,5735.00,1.660000,1.140000,179.36600000
"KMT-2017-BLG-2331L b","KMT-2017-BLG-2331L","Microlensing",2024,,14.20000000,171.00000000,2.1400000000,,,,0.400000,8030.00000000
"Kepler-1311 d","Kepler-1311","Transit",2021,197.51100160000,9.65837605,67.50000000,0.6843400000,391.00,5616.00,1.674000,1.032000,866.33100000
"2MASS J12073346-3932539 b","2MASS J12073346-3932539","Imaging",2004,,15.69257298,1652.70771640,46.0000000000,1163.00,2825.00,0.218870,0.188001,64.30800000
"Kepler-1669 b","Kepler-1669","Transit",2020,9.51216000000,2.78043818,8.15000000,0.0745000000,530.00,4303.00,0.714145,0.670000,543.44400000
